first image index,second image index,overlapping rate,level of distance
5,9,0.705145,4
2,10,0.536789,8
5,14,0.943875,9
10,14,0.766332,4
2,15,0.845383,13
7,15,0.591404,8
5,19,0.639524,14
10,19,0.947977,9
15,19,0.693278,4
2,20,0.553817,18
7,20,0.861283,13
12,20,0.526938,8
2,24,0.961982,22
7,24,0.513707,17
10,24,0.625666,14
15,24,0.949028,9
20,24,0.742983,4
7,25,0.536806,18
12,25,0.847204,13
17,25,0.566733,8
7,29,0.983825,22
12,29,0.525516,17
15,29,0.630021,14
20,29,0.956383,9
25,29,0.778604,4
12,30,0.544929,18
17,30,0.861088,13
22,30,0.578062,8
12,34,0.975280,22
20,34,0.660468,14
25,34,0.956241,9
30,34,0.697784,4
17,35,0.552194,18
22,35,0.848071,13
12,39,0.505727,27
17,39,0.979953,22
25,39,0.662472,14
30,39,0.960631,9
35,39,0.749436,4
22,40,0.546704,18
27,40,0.826079,13
32,40,0.552775,8
22,44,0.982515,22
30,44,0.652750,14
35,44,0.941762,9
40,44,0.777390,4
27,45,0.551231,18
32,45,0.838221,13
37,45,0.578598,8
22,49,0.540344,27
27,49,0.947289,22
35,49,0.651156,14
40,49,0.922278,9
45,49,0.643818,4
32,50,0.561269,18
37,50,0.834586,13
27,54,0.612037,27
32,54,0.941655,22
40,54,0.618526,14
45,54,0.945699,9
50,54,0.749234,4
37,55,0.546870,18
42,55,0.822863,13
47,55,0.601049,8
32,59,0.504425,27
37,59,0.956934,22
45,59,0.728388,14
50,59,0.949667,9
55,59,0.699443,4
42,60,0.582452,18
47,60,0.863750,13
52,60,0.547695,8
42,64,0.973771,22
47,64,0.537974,17
50,64,0.590212,14
55,64,0.954638,9
60,64,0.769124,4
47,65,0.515845,18
52,65,0.852474,13
57,65,0.599448,8
42,69,0.632631,27
47,69,0.961442,22
55,69,0.639489,14
60,69,0.937018,9
65,69,0.699778,4
52,70,0.548628,18
57,70,0.854367,13
62,70,0.521248,8
2,74,0.505337,72
75,77,0.580007,2
74,80,0.566759,6
75,82,0.870939,7
80,82,0.665179,2
74,85,0.892709,11
79,85,0.654907,6
7,86,0.516014,79
75,87,0.577533,12
80,87,0.897586,7
85,87,0.633416,2
74,90,0.650690,16
79,90,0.919942,11
84,90,0.628354,6
12,91,0.560853,79
74,92,0.844972,18
80,92,0.523664,12
85,92,0.906017,7
90,92,0.690296,2
79,95,0.593424,16
84,95,0.918661,11
89,95,0.663235,6
12,96,0.516616,84
17,96,0.602074,79
30,96,0.524613,66
79,97,0.835684,18
85,97,0.527938,12
90,97,0.903460,7
95,97,0.671385,2
84,100,0.601827,16
89,100,0.920316,11
94,100,0.629405,6
22,101,0.532156,79
84,102,0.851204,18
90,102,0.521241,12
95,102,0.896228,7
100,102,0.655256,2
89,105,0.594836,16
94,105,0.905209,11
99,105,0.620390,6
89,107,0.926093,18
95,107,0.574433,12
100,107,0.870827,7
105,107,0.577546,2
94,110,0.648586,16
99,110,0.884847,11
104,110,0.568540,6
94,112,0.838558,18
100,112,0.536966,12
105,112,0.902967,7
110,112,0.717058,2
99,115,0.584600,16
104,115,0.884115,11
109,115,0.701984,6
99,117,0.829681,18
105,117,0.544447,12
110,117,0.890012,7
115,117,0.646083,2
42,119,0.511395,77
104,120,0.592120,16
109,120,0.907105,11
114,120,0.633194,6
104,122,0.896695,18
110,122,0.531850,12
115,122,0.870366,7
120,122,0.581667,2
109,125,0.590164,16
114,125,0.904975,11
119,125,0.595047,6
109,127,0.856099,18
115,127,0.546954,12
120,127,0.893935,7
125,127,0.675181,2
114,130,0.614658,16
119,130,0.893544,11
124,130,0.664050,6
114,132,0.843992,18
120,132,0.539807,12
125,132,0.904371,7
130,132,0.675378,2
119,135,0.591334,16
124,135,0.912597,11
129,135,0.667727,6
60,137,0.544237,77
119,137,0.787321,18
130,137,0.893350,7
135,137,0.696786,2
57,140,0.516185,83
124,140,0.544527,16
129,140,0.916723,11
134,140,0.671742,6
11,142,0.794973,131
5,143,0.996590,138
9,143,0.524928,134
10,143,0.562588,133
14,143,0.873517,129
1,145,0.954821,144
6,145,0.539381,139
16,147,0.795849,131
